cloud
1 1 c O D D 0 | 4e | Al 0.02 H 0.22 C 0.44 S 0.05 O 0.11 F 0.16
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4a 4d 4b | Ba 0.33 Pr 0.33 Pu 0.33
0 2 a D D O j O O O 0 | 2a | Dy 0.12 Ag 0.25 Ge 0.12 Se 0.5
1 2 b O O O c D D O 0 | 2c 4g 4h 2a | Er 0.12 Th 0.62 In 0.25
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 8c 4a 4b | In 0.5 S 0.25 Cl 0.25
0 4 b O O O g D D O c D D O h D D O 1 Y B O | 2c 2b 2a | Ba 0.25 Eu 0.25 N 0.25 O 0.25
1 3 n O O O b O O D e O O O 0 | 2a 2d 2c | Dy 0.33 Mn 0.33 Si 0.33
0 3 a D D O b O O D j O O D 0 | 4a | Ce 0.22 Si 0.11 Sn 0.11 N 0.56
1 2 a D D O c O O O 0 | 2b 4i 2d | Na 0.08 Pm 0.25 Ag 0.17 Te 0.5
1 2 a D D O c O O O 0 | 4i 2d 2b | K 0.4 Rb 0.5 Tl 0.1
0 3 a E C C n O O O k O O O 0 | 3a | Be 0.22 Al 0.56 C 0.22
0 2 a D D O j O O O 0 | 4b 2a | Y 0.67 Cd 0.17 Ni 0.08 Ir 0.04 Ru 0.04
1 3 b O O O g O O O c D D O 0 | 4g 2a 4h | Li 0.4 Sb 0.2 Pt 0.4
0 3 a O D D b O O O j O O O 0 | 2a 2b | Ba 0.25 Mg 0.25 Mn 0.5
0 2 n O O O k O O O 0 | 1b 1c 3d 1a | Tb 0.08 Ce 0.25 Zn 0.42 Re 0.25
0 3 b O O O g O O O j O O O 0 | 1a 1b | Ti 0.25 Fe 0.25 Ge 0.5
1 4 b O O O c O O O d O O O e O O O 0 | 1a 3d 1b | Li 0.2 Be 0.6 Cu 0.2
0 3 a D D D b O O O j O O O 0 | 2a 2b | Hf 0.25 V 0.5 Pt 0.25
0 3 a D D O b O O D j O O D 0 | 4a 8b | Cu 0.17 As 0.33 S 0.5
1 0 0 | 2i | P 0.02 H 0.42 Pt 0.01 C 0.27 S 0.02 N 0.05 O 0.12 F 0.07
0 3 a O D D b O O O j O O O 0 | 4d 4e 2a 2b | Y 0.62 Dy 0.25 Ho 0.12
1 2 a D D O c O O D 0 | 8f 4e | Pm 0.67 Cd 0.17 Tc 0.17
1 3 b O O O g O O O c O O O 0 | 1a 1b 2f 1d | V 0.2 Cr 0.2 Bi 0.4 Pd 0.2
0 3 a E C C n O O O k O O O 0 | 3a | Ca 0.25 V 0.5 In 0.25
1 1 c O D O 0 | 2e | Sr 0.17 U 0.17 Te 0.5 Pd 0.17
0 1 j O O O 0 | 2c 1b | V 0.43 Se 0.43 Cl 0.14
1 2 b D O D c O D D 0 | 8c | Zn 0.03 H 0.46 C 0.34 N 0.14 O 0.03
1 3 n O O O b O O D e O O O 0 | 4f 2a 6h | Lu 0.33 Al 0.17 Re 0.5
1 3 b O O O g O O O c O O O 0 | 2g 1a 2h 1d | Tm 0.4 Th 0.1 Pb 0.5
0 2 b O O O j O O O 0 | 1a 1d | Co 0.5 Ni 0.25 Pd 0.25
1 0 0 | 1a 2i | Bi 0.14 S 0.29 F 0.57
0 3 a D D D b O O O j O O O 0 | 4d 2b 2a | Tm 0.64 Ni 0.18 Au 0.18
1 1 c O D O 0 | 2e | La 0.33 Co 0.33 Mo 0.33
1 2 b D O O c O O O 0 | 2f 2e | Pu 0.5 Co 0.5
1 3 b O O O g O O O c O O O 0 | 2f 1a 1d 1b | Re 0.4 Sn 0.2 Te 0.2 Pt 0.2
0 4 a D D D b O O O m O O O j O O O 0 | 4f 8i 8h 8g 4e | Tb 0.08 Ho 0.58 Al 0.17 Rh 0.17
1 1 c O D O 0 | 4f 2e | Mg 0.57 Cd 0.14 Ga 0.29
